x1,y1,x2,y2,Class,image,Probability
42,115,299,288,99_0,00223.jpg,0.64653224
19,10,177,134,88_8,00224.jpg,0.82125777
20,50,463,313,121_7,00225.jpg,0.9032791
46,15,202,156,111_6,00226.jpg,0.9846618
36,63,613,397,61_8,00227.jpg,0.9860508
237,156,896,365,141_4,00228.jpg,0.8009687
5,46,255,138,136_8,00229.jpg,0.6581807
223,542,3692,2478,183_6,00230.jpg,0.55933875
73,109,606,374,106_2,00231.jpg,0.9455219
15,110,544,381,84_5,00232.jpg,0.8818526
276,124,1495,951,194_3,00233.jpg,0.8313948
99,364,1211,954,132_8,00234.jpg,0.6860253
59,63,549,404,111_1,00235.jpg,0.950538
19,138,571,424,7_7,00236.jpg,0.97347313
11,10,396,265,65_6,00237.jpg,0.67474383
163,91,527,346,26_7,00238.jpg,0.75652516
4,19,255,172,16_2,00239.jpg,0.98960644
45,60,251,171,138_0,00240.jpg,0.45303294
32,59,1011,709,170_8,00241.jpg,0.8466154
10,53,273,167,102_6,00242.jpg,0.9970193
270,228,727,416,168_8,00243.jpg,0.7911074
21,93,479,331,7_0,00244.jpg,0.7784459
22,59,536,238,61_8,00245.jpg,0.8915502
1,317,1280,945,167_6,00246.jpg,0.98161227
47,125,850,468,137_7,00247.jpg,0.9230072
52,167,508,387,177_7,00248.jpg,0.7566969
6,155,631,450,153_9,00249.jpg,0.99917763
11,35,246,186,190_4,00250.jpg,0.96167564
576,466,2994,1953,167_0,00251.jpg,0.9674625
37,50,253,158,105_7,00252.jpg,0.51199657
51,105,579,335,50_7,00253.jpg,0.9009125
21,11,296,141,131_8,00254.jpg,0.87046224
29,78,734,396,6_9,00255.jpg,0.9998927
85,215,776,511,21_6,00256.jpg,0.99630046
23,146,617,329,31_7,00257.jpg,0.9574479
34,86,227,166,51_0,00258.jpg,0.9895489
75,254,2514,1929,187_0,00259.jpg,0.9757057
28,164,698,417,134_6,00260.jpg,0.99621326
32,79,378,221,16_0,00261.jpg,0.6350922
158,132,501,293,103_6,00262.jpg,0.99772733
177,299,730,673,40_2,00263.jpg,0.6960437
42,72,472,299,69_8,00264.jpg,0.81506115
15,74,387,195,55_6,00265.jpg,0.99678206
25,133,620,374,46_1,00267.jpg,0.5909844
49,53,596,398,74_0,00268.jpg,0.51842755
29,192,605,391,185_7,00269.jpg,0.889159
15,70,357,186,122_1,00270.jpg,0.9943429
11,23,141,80,174_7,00271.jpg,0.78239614
8,1,590,327,100_8,00272.jpg,0.9210714
37,65,458,321,69_6,00273.jpg,0.9820424
31,69,435,310,20_1,00274.jpg,0.9653314
165,183,495,358,130_6,00275.jpg,0.9982698
75,93,529,360,132_7,00276.jpg,0.9881394
72,193,926,613,173_0,00277.jpg,0.99885225
1,38,251,135,156_7,00278.jpg,0.9777092
16,31,553,297,47_8,00279.jpg,0.7697906
3,33,261,176,107_6,00280.jpg,0.5210876
214,240,387,342,151_5,00281.jpg,0.70796996
20,97,460,356,61_6,00282.jpg,0.9569314
112,190,664,342,105_0,00283.jpg,0.9910746
49,101,942,619,94_6,00284.jpg,0.8056532
7,20,634,298,194_1,00285.jpg,0.8133428
116,143,769,713,195_7,00286.jpg,0.45426178
56,299,1266,721,91_4,00287.jpg,0.5484195
60,46,258,138,189_4,00288.jpg,0.81783295
205,197,741,425,15_8,00289.jpg,0.92907274
68,30,620,506,140_7,00290.jpg,0.9102872
27,147,573,471,142_7,00291.jpg,0.8389764
133,73,806,251,10_7,00292.jpg,0.74405223
24,27,936,380,104_9,00293.jpg,0.99943775
11,141,629,386,48_2,00294.jpg,0.98112774
150,114,524,433,50_7,00295.jpg,0.4749119
18,115,618,456,120_0,00296.jpg,0.9826847
56,157,639,455,87_7,00297.jpg,0.9906273
49,67,362,245,177_2,00298.jpg,0.64602697
24,66,982,711,147_7,00299.jpg,0.8009811
41,103,994,692,169_8,00300.jpg,0.9712333
52,36,247,189,121_8,00301.jpg,0.7080519
1,37,296,171,19_6,00302.jpg,0.98438317
6,47,297,193,31_4,00303.jpg,0.7316989
14,29,235,168,156_7,00304.jpg,0.5435668
37,21,169,122,143_1,00305.jpg,0.850773
37,125,582,456,83_0,00306.jpg,0.94090676
171,63,1187,894,58_7,00307.jpg,0.9073459
16,136,775,418,6_9,00308.jpg,0.99974245
50,122,589,338,127_8,00309.jpg,0.9679589
36,43,407,319,131_0,00310.jpg,0.88697654
1,69,280,228,15_8,00311.jpg,0.923491
53,79,627,464,73_2,00312.jpg,0.98905283
13,44,477,289,24_0,00313.jpg,0.9420499
33,71,615,435,87_6,00314.jpg,0.94842184
555,278,1543,1207,170_1,00315.jpg,0.5551118
10,29,276,164,123_9,00316.jpg,0.9989537
2,48,300,202,158_8,00317.jpg,0.98179835
73,159,445,376,11_5,00318.jpg,0.98997647
38,8,564,402,47_8,00319.jpg,0.7956352
42,17,440,282,7_2,00320.jpg,0.9999826
42,63,593,397,94_0,00321.jpg,0.913271
9,304,1009,677,75_4,00322.jpg,0.8596085
161,263,632,415,182_4,00323.jpg,0.40996784
15,26,199,123,186_7,00324.jpg,0.90500206
12,21,285,142,128_7,00325.jpg,0.987039
29,28,432,249,193_5,00326.jpg,0.9160242
2,6,546,298,180_4,00327.jpg,0.67040795
41,49,244,176,62_2,00328.jpg,0.5958085
10,105,660,475,114_0,00329.jpg,0.88336396
168,92,333,305,166_8,00330.jpg,0.97674084
26,81,596,391,181_7,00331.jpg,0.8896669
76,247,396,396,101_6,00332.jpg,0.99282324
30,110,472,316,103_8,00333.jpg,0.7911755
179,300,1403,894,22_0,00334.jpg,0.9905848
23,31,236,176,125_7,00335.jpg,0.8954349
309,598,1767,995,112_1,00336.jpg,0.99093527
45,55,530,308,38_1,00337.jpg,0.98813546
14,129,441,360,106_8,00338.jpg,0.66374004
39,5,234,174,56_0,00339.jpg,0.7303891
139,152,488,305,9_6,00340.jpg,0.9980254
62,116,974,610,67_7,00341.jpg,0.88702613
152,195,502,436,169_8,00342.jpg,0.87512565
63,36,760,504,147_4,00343.jpg,0.5919641
36,59,770,397,145_4,00344.jpg,0.7634382
26,13,234,194,113_8,00345.jpg,0.61815214
112,21,2859,1928,63_0,00346.jpg,0.8625252
100,190,907,691,145_8,00347.jpg,0.71415776
14,59,522,266,55_8,00348.jpg,0.9157176
42,82,956,685,89_4,00349.jpg,0.82159835
17,52,247,158,86_7,00350.jpg,0.66181606
13,108,454,305,42_0,00351.jpg,0.7683189
107,40,433,240,143_3,00352.jpg,0.6941738
3,60,499,289,117_6,00353.jpg,0.9606185
44,212,984,596,57_8,00354.jpg,0.9720114
28,93,1011,675,170_8,00355.jpg,0.7223571
187,313,1381,1087,115_7,00356.jpg,0.8571356
31,47,415,255,39_4,00357.jpg,0.79652745
53,116,562,353,29_6,00358.jpg,0.5575821
27,71,630,422,58_7,00359.jpg,0.9754794
12,23,245,176,70_6,00360.jpg,0.68291456
17,64,941,620,119_8,00361.jpg,0.96147305
108,121,539,357,50_7,00362.jpg,0.6479995
14,60,402,300,128_4,00363.jpg,0.9241741
15,47,286,184,53_0,00364.jpg,0.618804
17,82,630,496,53_0,00365.jpg,0.9941987
67,55,508,338,32_7,00366.jpg,0.9485433
30,118,618,334,177_1,00367.jpg,0.47646734
14,76,292,195,59_1,00368.jpg,0.97613394
40,52,603,357,128_6,00369.jpg,0.9963644
57,148,568,363,10_7,00370.jpg,0.75750554
5,56,430,245,83_7,00371.jpg,0.95972633
2,190,371,490,168_1,00372.jpg,0.9765618
243,318,805,629,172_6,00373.jpg,0.9982174
9,184,740,499,6_8,00374.jpg,0.9629435
122,48,697,401,176_4,00375.jpg,0.5917791
74,187,917,734,135_7,00376.jpg,0.9452877
20,48,624,453,133_7,00377.jpg,0.9813307
16,25,290,215,156_8,00378.jpg,0.6593421
119,194,942,586,54_7,00379.jpg,0.9493988
137,76,600,370,99_0,00380.jpg,0.97901344
66,88,455,322,125_8,00381.jpg,0.7548172
4,55,494,365,146_1,00382.jpg,0.9946366
80,1,549,431,58_7,00383.jpg,0.94333005
51,87,489,290,59_4,00384.jpg,0.57720196
217,199,631,358,141_4,00385.jpg,0.8245109
65,321,1232,828,56_1,00386.jpg,0.9995276
47,150,1007,635,63_5,00387.jpg,0.9717121
18,53,244,175,131_7,00388.jpg,0.9953442
5,96,409,262,48_8,00389.jpg,0.9454126
14,21,782,487,160_5,00390.jpg,0.9897439
433,262,1339,985,166_1,00391.jpg,0.99259794
62,220,992,667,4_0,00392.jpg,0.98916525
110,266,986,700,195_0,00393.jpg,0.95603263
229,126,624,345,147_6,00394.jpg,0.9747371
58,45,205,165,131_7,00395.jpg,0.8511333
21,99,442,295,165_7,00396.jpg,0.78576595
30,29,282,164,23_7,00397.jpg,0.99658906
29,93,408,242,40_0,00398.jpg,0.9899747
121,108,655,387,26_7,00399.jpg,0.7534041
32,51,260,153,181_7,00400.jpg,0.7852748
24,78,366,232,88_6,00401.jpg,0.9922218
1,18,392,240,17_2,00402.jpg,0.6842416
299,199,1415,894,110_7,00403.jpg,0.705361
30,132,724,361,180_4,00404.jpg,0.89825284
42,37,624,328,10_0,00405.jpg,0.9066122
1,157,990,640,75_0,00406.jpg,0.9960044
19,136,498,329,59_4,00407.jpg,0.8860375
49,76,343,266,19_7,00408.jpg,0.9422571
21,66,605,463,189_1,00409.jpg,0.6834316
31,119,404,248,5_8,00410.jpg,0.94395417
52,47,586,260,14_8,00411.jpg,0.97588646
195,372,1908,1339,176_2,00412.jpg,0.92026407
33,150,613,401,80_7,00413.jpg,0.6350584
316,344,1269,891,86_0,00414.jpg,0.9638493
81,552,1917,1153,55_6,00415.jpg,0.99542564
122,157,921,587,112_6,00416.jpg,0.9901365
63,69,603,385,50_7,00417.jpg,0.95055276
12,70,388,273,57_8,00418.jpg,0.9896987
50,89,584,387,73_2,00419.jpg,0.6823811
71,64,425,328,99_0,00420.jpg,0.74886435
71,158,690,341,152_3,00421.jpg,0.9999125
32,74,277,203,162_0,00422.jpg,0.5030065
69,59,637,461,85_7,00423.jpg,0.7654542
22,83,415,322,5_8,00424.jpg,0.95014244
48,36,572,300,7_0,00425.jpg,0.74544334
85,318,1223,863,194_8,00426.jpg,0.9726626
33,128,581,458,117_4,00427.jpg,0.7801089
33,102,595,429,179_5,00428.jpg,0.9953988
83,182,573,402,73_0,00429.jpg,0.8494694
82,74,589,340,185_7,00430.jpg,0.59361786
47,201,534,426,187_1,00431.jpg,0.96481055
54,128,429,353,163_4,00432.jpg,0.93409485
58,189,879,642,164_0,00433.jpg,0.82852274
18,50,280,162,171_6,00434.jpg,0.98777825
20,75,606,325,64_8,00435.jpg,0.9297296
20,51,271,180,51_4,00436.jpg,0.8388108
19,67,412,314,99_0,00437.jpg,0.88375664
52,94,543,323,26_7,00438.jpg,0.88024426
11,89,644,415,49_6,00439.jpg,0.9962682
12,60,456,306,107_0,00440.jpg,0.8845874
30,35,382,235,115_8,00441.jpg,0.8773435
53,56,391,278,190_6,00442.jpg,0.98636657
37,60,218,144,143_4,00443.jpg,0.43383184
4,4,377,277,79_4,00444.jpg,0.6696465
121,169,1387,775,180_7,00445.jpg,0.80698895
17,41,465,293,24_6,00446.jpg,0.9981128
43,110,462,296,162_7,00447.jpg,0.5472855
37,67,617,437,178_0,00448.jpg,0.8176651
66,117,506,289,180_7,00449.jpg,0.92829835
57,59,506,288,15_0,00450.jpg,0.7814588
66,90,507,385,189_4,00451.jpg,0.79529953
59,42,256,165,108_2,00452.jpg,0.96319306
65,91,391,278,121_0,00453.jpg,0.32318157
251,299,1423,901,49_2,00454.jpg,0.9147265
434,136,1528,829,194_1,00455.jpg,0.9343621
79,63,285,171,42_5,00456.jpg,0.97303694
79,91,600,456,118_6,00457.jpg,0.7169473
16,96,483,277,108_8,00458.jpg,0.9307125
39,81,597,465,84_6,00459.jpg,0.96841353
95,139,886,541,182_7,00460.jpg,0.797576
111,2,553,350,179_5,00461.jpg,0.942484
5,8,83,58,1_8,00462.jpg,0.5307019
113,75,1551,1136,89_0,00463.jpg,0.9980275
72,216,884,579,133_2,00464.jpg,0.9889839
53,115,565,380,187_6,00465.jpg,0.98868257
104,261,511,480,178_6,00466.jpg,0.9906658
47,92,209,178,14_0,00467.jpg,0.9961876
1,18,300,147,111_7,00468.jpg,0.7572591
13,88,483,259,93_6,00469.jpg,0.9905601
4,9,409,193,92_6,00470.jpg,0.9969562
3,7,253,165,18_7,00471.jpg,0.9830169
34,315,1832,905,140_7,00472.jpg,0.6603369
18,38,249,178,65_3,00473.jpg,0.6697328
70,125,389,340,129_7,00474.jpg,0.89668566
21,85,793,389,183_7,00475.jpg,0.98451114
95,125,585,390,141_4,00476.jpg,0.48968667
160,175,923,623,124_7,00477.jpg,0.5216256
9,7,98,81,174_8,00478.jpg,0.56737804
133,38,691,514,120_8,00479.jpg,0.89579386
29,46,239,134,109_4,00480.jpg,0.38713527
6,44,270,175,15_6,00481.jpg,0.9981528
80,91,589,429,184_8,00482.jpg,0.68609136
18,26,623,342,90_2,00483.jpg,0.9618062
29,62,509,288,126_4,00484.jpg,0.37649053
70,118,401,299,77_3,00485.jpg,0.7952604
43,74,587,399,58_4,00486.jpg,0.4362353
8,23,296,167,48_7,00487.jpg,0.9839506
28,35,207,139,56_4,00488.jpg,0.85599047
55,78,454,272,105_7,00489.jpg,0.7940469
21,51,233,163,29_1,00490.jpg,0.7244027
37,14,358,288,121_2,00491.jpg,0.47805768
13,108,612,386,61_7,00492.jpg,0.54640335
19,116,700,400,114_4,00493.jpg,0.48489097
39,337,1239,711,173_6,00494.jpg,0.9993506
111,98,863,766,86_7,00495.jpg,0.45332772
24,132,1021,734,81_7,00496.jpg,0.44749677
6,79,470,287,185_0,00497.jpg,0.8447351
78,102,560,368,119_8,00498.jpg,0.89628917
12,31,412,249,159_7,00499.jpg,0.97905856
11,10,291,212,84_6,00500.jpg,0.79794306
4,30,146,86,161_0,00501.jpg,0.76266515
1,11,101,84,88_8,00502.jpg,0.9448996
11,48,491,237,9_8,00503.jpg,0.9723041
45,63,237,138,129_8,00504.jpg,0.98662114
49,88,226,172,129_8,00505.jpg,0.89173263
26,185,764,610,167_6,00506.jpg,0.99557084
139,206,590,395,130_5,00507.jpg,0.8028763
85,237,1561,1052,167_7,00508.jpg,0.9910589
64,130,554,341,21_8,00509.jpg,0.87814975
10,73,613,388,114_7,00510.jpg,0.5262918
74,43,569,407,99_0,00511.jpg,0.87697273
27,61,265,160,104_8,00512.jpg,0.9861173
12,164,533,351,40_0,00513.jpg,0.7441049
18,22,292,163,109_2,00514.jpg,0.6121053
17,70,282,166,162_0,00515.jpg,0.8931008
18,99,613,427,53_0,00516.jpg,0.9987758
20,205,1008,694,43_0,00517.jpg,0.99116766
34,57,237,178,109_0,00518.jpg,0.93571967
7,39,254,177,162_0,00519.jpg,0.9799733
14,59,253,142,67_7,00520.jpg,0.9606654
122,196,512,439,153_9,00521.jpg,0.9292828
6,7,94,68,1_0,00522.jpg,0.88394856
33,151,1000,528,115_6,00523.jpg,0.9627062
38,98,590,353,126_2,00524.jpg,0.99883646
116,148,391,318,76_4,00525.jpg,0.52587306
26,78,245,161,108_7,00526.jpg,0.8021125
56,3,736,271,191_4,00527.jpg,0.6370349
38,74,213,162,121_8,00528.jpg,0.9165802
45,44,563,415,61_8,00529.jpg,0.968381
25,32,236,180,161_2,00530.jpg,0.651365
167,396,1945,1016,141_7,00531.jpg,0.9005738
26,139,607,343,80_8,00532.jpg,0.9919831
40,68,487,263,135_6,00533.jpg,0.93711257
17,120,563,359,139_4,00534.jpg,0.75022876
508,240,1379,955,154_7,00535.jpg,0.95252365
29,116,593,409,54_0,00536.jpg,0.8738378
1,328,758,773,172_8,00537.jpg,0.9157668
56,214,1544,755,107_0,00538.jpg,0.9404437
30,11,413,316,139_6,00539.jpg,0.9412424
3,39,300,128,72_6,00540.jpg,0.9032086
12,52,275,208,122_0,00541.jpg,0.8806662
25,78,600,421,86_2,00542.jpg,0.7883141
8,79,397,240,186_2,00543.jpg,0.66104263
9,72,633,359,179_8,00544.jpg,0.98893714
5,569,2040,1468,147_8,00545.jpg,0.98298013
40,114,350,285,34_8,00546.jpg,0.94802564
63,110,592,351,47_8,00547.jpg,0.9308778
11,36,247,175,13_8,00548.jpg,0.819619
8,5,547,267,13_8,00549.jpg,0.7602389
11,130,394,257,98_2,00550.jpg,0.69926816
227,315,766,532,42_2,00551.jpg,0.7581715
4,41,281,148,46_0,00552.jpg,0.92662936
16,95,628,339,187_6,00553.jpg,0.999054
41,38,299,190,138_1,00554.jpg,0.69075394
37,89,603,317,144_6,00555.jpg,0.9860146
101,254,938,605,163_8,00556.jpg,0.8070154
